书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
大秦帝师,签约作品,架空历史,78,592,12239,120654,0,0,1928,525072,107
师妹，请自重,签约作品,异界大陆,45,388,24518,213068,7,21,1449,671494,90
艾克斯左旋右减升职记,驻站作品,游戏异界,0,0,3742,3742,0,0,0,3742,目前在拼命写作中
楚不悲1最后的平凡,驻站作品,西方奇幻,6,6,79781,79781,0,0,6,81795,1
余见传,驻站作品,东方玄幻,8,39,6980,26584,0,0,1135,214879,7
西游：人在天庭，朝九晚五,签约作品,东方玄幻,172,673,12201,89523,0,1,673,89523,22
荒岛之王,签约作品,都市生活,313,3320,11562,138088,0,11,6188,490483,77
我走路成了世界首富,签约作品,都市生活,11,95,18127,118935,2,5,126,124900,26
都市最强女婿,签约作品,都市生活,91,832,12679,111373,132,865,9707,1243701,311
万界大轮回,签约作品,异术超能,9,55,18126,121718,0,0,55,121718,9
桃源首富,签约作品,乡村乡土,80,1069,14603,168432,0,0,2009,541725,90
重生文娱巨星,签约作品,娱乐明星,122,975,14582,110263,0,0,4979,560868,18
谏仙客书,驻站作品,东方玄幻,6,17,11572,40825,0,0,17,41841,11
长生：从吃软饭开始,签约作品,都市生活,31,214,6102,114010,0,0,922,343826,27
择妖记,驻站作品,异术超能,20,29,3077,6688,7,7,29,6688,5
从食铁兽开始称霸洪荒,签约作品,爆笑幽默,19,89,12359,29023,0,7,458,154330,7
因为缺钱所以当保镖,驻站作品,东方玄幻,0,0,2823,2823,0,0,0,2823,目前在拼命写作中
孪生兵王,驻站作品,都市异能,16,25,18952,32475,0,0,25,32266,5
极品赘婿,签约作品,现实题材,400,4018,6102,115617,0,0,242366,2953321,518
